Path	Lines of Code
cypress.config.js	15
cypress/e2e/test1.cy.js	20
cypress/e2e/test2.cy.js	48
cypress/e2e/test3.cy.js	27
cypress/support/commands.js	1
cypress/support/component-index.html	12
cypress/support/component.js	3
cypress/support/e2e.js	1
eslint.config.js	28
index.html	13
server/config/supabase.js	11
server/controllers/adminController.js	171
server/controllers/cartController.js	170
server/controllers/devController.js	120
server/controllers/gamesController.js	180
server/controllers/paymentsController.js	152
server/controllers/stripeWebhookController.js	103
server/controllers/userController.js	123
server/index.js	51
server/middleware/auth.js	41
server/middleware/rateLimit.js	61
server/routes/admin.js	13
server/routes/auth.js	123
server/routes/dev.js	11
server/routes/games.js	13
server/routes/payments.js	16
server/routes/stripeWebhook.js	10
server/routes/user.js	11
server/utils/keygen.js	10
server/utils/stripePricing.js	45
server/utils/validatePassword.js	7
src/App.css	480
src/App.jsx	141
src/app/Context/AuthContext.jsx	10
src/app/Error/ErrorPage.jsx	12
src/app/components/GameCard.jsx	23
src/app/components/Guards/RequireAdmin.jsx	6
src/app/components/Guards/RequireDev.jsx	15
src/app/components/SearchBar.jsx	245
src/app/components/gameCard.css	9
src/app/components/searchBar.css	100
src/app/layout/RootLayout.jsx	12
src/index.css	33
src/main.jsx	9
src/pages/Admin/Admin.css	8
src/pages/Admin/Admin.jsx	215
src/pages/Cart/Cart.css	32
src/pages/Cart/Cart.cy.jsx	8
src/pages/Cart/Cart.jsx	184
src/pages/Dev/Dev.jsx	615
src/pages/Dev/DevGameDetail/devGameDetail.jsx	485
src/pages/GameDetail/GameDetail.jsx	282
src/pages/GameDetail/gameDetail.css	295
src/pages/Home/Home.jsx	212
src/pages/Home/home.css	149
src/pages/Login/Login.cy.jsx	8
src/pages/Login/Login.jsx	97
src/pages/Login/login.module.css	6
src/pages/Logout/Logout.css	27
src/pages/Logout/Logout.jsx	40
src/pages/Navigation/Navigation.jsx	41
src/pages/Navigation/navigation.css	102
src/pages/Profile/EditPassword/EditPassword.cy.jsx	8
src/pages/Profile/EditPassword/EditPassword.jsx	132
src/pages/Profile/EditProfile/EditProfile.jsx	130
src/pages/Profile/Profile.css	180
src/pages/Profile/Profile.jsx	103
src/pages/Profile/Purchases.jsx	91
src/pages/Purchase/Success.cy.jsx	8
src/pages/Purchase/Success.jsx	166
src/pages/Purchase/success.css	15
src/pages/Register/Register.jsx	128
src/pages/Register/register.module.css	6
src/pages/Search/Search.css	3
src/pages/Search/Search.jsx	43
src/pages/Support/Support.jsx	146
src/pages/Support/support.css	121
vite.config.js	10
