Metric		Current
TOTAL_NUMBER_OF_FILES		6,846
NUMBER_OF_FILES_MAIN		78
LINES_OF_CODE_MAIN		6,801
NUMBER_OF_FILES_MAIN_EXT_JSX		30
LINES_OF_CODE_MAIN_EXT_JSX		3,615
NUMBER_OF_FILES_MAIN_EXT_JS		30
LINES_OF_CODE_MAIN_EXT_JS		1,595
NUMBER_OF_FILES_MAIN_EXT_CSS		16
LINES_OF_CODE_MAIN_EXT_CSS		1,566
NUMBER_OF_FILES_MAIN_EXT_HTML		2
LINES_OF_CODE_MAIN_EXT_HTML		25
NUMBER_OF_FILES_TEST		0
LINES_OF_CODE_TEST		0
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		0
NUMBER_OF_FILES_GENERATED		1
LINES_OF_CODE_GENERATED		6,187
NUMBER_OF_FILES_GENERATED_EXT_JSON		1
LINES_OF_CODE_GENERATED_EXT_JSON		6,187
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		0
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		0
NUMBER_OF_FILES_OTHER		6
LINES_OF_CODE_OTHER		8,006
NUMBER_OF_FILES_OTHER_EXT_JSON		3
LINES_OF_CODE_OTHER_EXT_JSON		6,237
NUMBER_OF_FILES_OTHER_EXT_TXT		1
LINES_OF_CODE_OTHER_EXT_TXT		1,760
NUMBER_OF_FILES_OTHER_EXT_MD		1
LINES_OF_CODE_OTHER_EXT_MD		7
NUMBER_OF_FILES_OTHER_EXT_SVG		1
LINES_OF_CODE_OTHER_EXT_SVG		2
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CYPRESS		7
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CYPRESS		112
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CYPRESS_EXT_JS		6
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CYPRESS_EXT_JS		100
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CYPRESS_EXT_HTML		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CYPRESS_EXT_HTML		12
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT		4
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT		66
