Metric		Current
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		220
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		435
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		297
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		99
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		99
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_NEGLIGIBLE_RISK_LOC		30
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_SERVER_NEGLIGIBLE_RISK_LOC		190
CONDITIONAL_COMPLEXITY_COMPONENT_SERVER_LOW_RISK_LOC		435
CONDITIONAL_COMPLEXITY_COMPONENT_SERVER_MEDIUM_RISK_LOC		297
CONDITIONAL_COMPLEXITY_COMPONENT_SERVER_HIGH_RISK_LOC		99
CONDITIONAL_COMPLEXITY_COMPONENT_SERVER_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		220
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		435
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		297
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		99
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
