file 1	file 2	# same commits	# commits file 1	# commits file 2
src/pages/Profile/Profile.jsx	src/App.jsx	14	21	53
src/pages/Dev/Dev.jsx	src/App.jsx	12	43	53
server/routes/admin.js	server/controllers/adminController.js	12	16	25
src/pages/Dev/Dev.jsx	src/pages/Profile/Profile.jsx	8	43	21
src/App.jsx	server/middleware/rateLimit.js	8	53	15
src/pages/GameDetail/GameDetail.jsx	src/pages/Dev/Dev.jsx	8	19	43
server/routes/admin.js	server/middleware/rateLimit.js	8	16	15
server/routes/user.js	server/controllers/userController.js	8	8	14
src/App.jsx	server/routes/admin.js	7	53	16
server/middleware/rateLimit.js	server/controllers/adminController.js	7	15	25
server/routes/payments.js	server/controllers/paymentsController.js	7	9	14
src/pages/Navigation/Navigation.jsx	src/App.jsx	6	15	53
src/pages/Dev/Dev.jsx	server/controllers/adminController.js	6	43	25
src/pages/Profile/Profile.jsx	server/controllers/userController.js	6	21	14
src/pages/Admin/Admin.jsx	server/middleware/rateLimit.js	6	8	15
src/pages/Admin/Admin.jsx	src/App.jsx	6	8	53
src/pages/GameDetail/gameDetail.css	src/pages/Dev/Dev.jsx	5	9	43
src/pages/Dev/Dev.jsx	server/routes/admin.js	5	43	16
server/controllers/cartController.js	server/middleware/rateLimit.js	5	6	15
src/pages/Purchase/Success.jsx	server/controllers/paymentsController.js	5	6	14
server/routes/payments.js	src/pages/Purchase/Success.jsx	5	9	6
src/App.jsx	server/controllers/adminController.js	5	53	25
src/pages/GameDetail/GameDetail.jsx	src/App.jsx	5	19	53
src/pages/GameDetail/gameDetail.css	src/App.jsx	4	9	53
server/index.js	server/controllers/paymentsController.js	4	21	14
src/pages/Admin/Admin.css	src/App.jsx	4	4	53
server/utils/stripePricing.js	server/controllers/gamesController.js	4	4	24
server/routes/payments.js	server/controllers/stripeWebhookController.js	4	9	7
src/pages/Profile/Profile.jsx	server/middleware/rateLimit.js	4	21	15
src/pages/Profile/EditPassword/EditPassword.jsx	src/App.jsx	4	4	53
src/pages/Profile/Profile.css	src/App.jsx	4	4	53
server/routes/payments.js	server/index.js	4	9	21
src/pages/Admin/Admin.css	server/controllers/adminController.js	4	4	25
src/pages/Admin/Admin.css	server/routes/admin.js	4	4	16
server/routes/user.js	server/index.js	4	8	21
src/pages/Profile/Profile.css	src/pages/Dev/Dev.jsx	4	4	43
server/controllers/gamesController.js	src/App.jsx	4	24	53
src/pages/Admin/Admin.jsx	server/routes/admin.js	4	8	16
src/pages/Navigation/Navigation.jsx	src/pages/GameDetail/GameDetail.jsx	4	15	19
src/pages/GameDetail/GameDetail.jsx	server/controllers/gamesController.js	4	19	24
src/pages/Navigation/Navigation.jsx	src/pages/Dev/Dev.jsx	4	15	43
server/utils/stripePricing.js	server/controllers/cartController.js	4	4	6
src/pages/Dev/Dev.jsx	server/controllers/devController.js	4	43	6
server/index.js	server/controllers/userController.js	4	21	14
src/app/components/SearchBar.jsx	src/App.jsx	4	7	53
server/controllers/cartController.js	server/routes/payments.js	4	6	9
src/pages/Logout/Logout.jsx	src/pages/Profile/Profile.jsx	4	11	21
src/pages/Profile/Profile.jsx	server/routes/admin.js	4	21	16
src/pages/Admin/Admin.css	server/middleware/rateLimit.js	4	4	15
src/pages/Dev/Dev.jsx	server/middleware/rateLimit.js	4	43	15
src/pages/Profile/EditPassword/EditPassword.jsx	src/pages/Profile/Profile.jsx	4	4	21
server/routes/dev.js	server/controllers/devController.js	4	15	6
src/App.jsx	server/controllers/paymentsController.js	4	53	14
src/pages/Admin/Admin.jsx	server/controllers/adminController.js	4	8	25
server/index.js	server/routes/admin.js	4	21	16
server/routes/games.js	server/controllers/gamesController.js	4	11	24
server/routes/payments.js	src/App.jsx	4	9	53
server/routes/payments.js	server/controllers/userController.js	3	9	14
server/index.js	server/routes/games.js	3	21	11
src/pages/Support/Support.jsx	server/controllers/userController.js	3	3	14
src/app/components/SearchBar.jsx	server/controllers/paymentsController.js	3	7	14
src/pages/Support/Support.jsx	src/pages/Profile/Profile.jsx	3	3	21
src/pages/GameDetail/gameDetail.css	src/pages/Dev/DevGameDetail/devGameDetail.jsx	3	9	3
src/pages/Profile/EditProfile/EditProfile.jsx	src/App.jsx	3	3	53
src/pages/Profile/EditProfile/EditProfile.jsx	src/pages/Profile/Profile.jsx	3	3	21
src/pages/Dev/DevGameDetail/devGameDetail.jsx	src/pages/Dev/Dev.jsx	3	3	43
src/pages/GameDetail/gameDetail.css	server/controllers/gamesController.js	3	9	24
src/pages/Profile/EditProfile/EditProfile.jsx	src/pages/Profile/EditPassword/EditPassword.jsx	3	3	4
src/pages/Dev/Dev.jsx	server/controllers/gamesController.js	3	43	24
src/pages/Support/support.css	server/controllers/userController.js	3	3	14
src/pages/Support/support.css	src/pages/Profile/Purchases.jsx	3	3	3
src/pages/Support/Support.jsx	src/pages/Profile/Purchases.jsx	3	3	3
server/controllers/userController.js	src/App.jsx	3	14	53
src/pages/Search/Search.jsx	src/App.jsx	3	4	53
src/pages/Purchase/Success.jsx	src/app/components/SearchBar.jsx	3	6	7
src/pages/Dev/DevGameDetail/devGameDetail.jsx	server/controllers/gamesController.js	3	3	24
server/utils/stripePricing.js	server/middleware/rateLimit.js	3	4	15
src/pages/Support/support.css	src/App.jsx	3	3	53
src/pages/Profile/Purchases.jsx	server/controllers/userController.js	3	3	14
server/index.js	server/controllers/adminController.js	3	21	25
server/routes/dev.js	server/controllers/gamesController.js	3	15	24
server/routes/user.js	server/controllers/paymentsController.js	3	8	14
src/pages/Support/Support.jsx	src/App.jsx	3	3	53
server/routes/payments.js	server/middleware/rateLimit.js	3	9	15
server/index.js	src/App.jsx	3	21	53
src/pages/Support/support.css	src/pages/Profile/Profile.jsx	3	3	21
server/controllers/cartController.js	server/routes/admin.js	3	6	16
src/pages/Profile/Purchases.jsx	src/App.jsx	3	3	53
src/pages/Navigation/navigation.css	src/app/components/GameCard.jsx	3	14	7
server/routes/user.js	server/controllers/stripeWebhookController.js	3	8	7
server/controllers/userController.js	server/middleware/rateLimit.js	3	14	15
server/controllers/gamesController.js	server/middleware/rateLimit.js	3	24	15
src/pages/Cart/Cart.jsx	src/pages/Dev/Dev.jsx	3	3	43
src/pages/GameDetail/gameDetail.css	server/routes/games.js	2	9	11
src/pages/Dev/DevGameDetail/devGameDetail.jsx	src/App.jsx	2	3	53
server/routes/payments.js	src/app/components/SearchBar.jsx	2	9	7
src/pages/oldDev/Dev.jsx	src/pages/Dev/Dev.jsx	2	2	43
server/routes/auth.js	server/index.js	2	22	21
src/pages/Register/Register.jsx	src/pages/Dev/Dev.jsx	2	17	43
server/routes/auth.js	server/controllers/userController.js	2	22	14
src/pages/GameDetail/GameDetail.jsx	server/controllers/paymentsController.js	2	19	14
server/routes/stripeWebhook.js	server/index.js	2	2	21
src/pages/Support/Support.jsx	server/controllers/gamesController.js	2	3	24
src/pages/Profile/Purchases.jsx	server/controllers/stripeWebhookController.js	2	3	7
server/controllers/cartController.js	server/index.js	2	6	21
src/pages/Cart/Cart.css	src/App.jsx	2	2	53
server/index.js	server/controllers/gamesController.js	2	21	24
server/routes/stripeWebhook.js	server/controllers/paymentsController.js	2	2	14
src/pages/oldDev/CreateGame/CreateGame.css	src/pages/GameDetail/gameDetail.css	2	2	9
server/controllers/cartController.js	src/pages/Cart/Cart.jsx	2	6	3
src/pages/Logout/Logout.jsx	server/index.js	2	11	21
src/pages/oldDev/Dev.jsx	src/pages/oldDev/CreateGame/CreateGame.jsx	2	2	2
src/pages/Login/Login.jsx	src/pages/Register/Register.jsx	2	30	17
src/pages/Login/Login.jsx	src/App.jsx	2	30	53
src/app/components/searchBar.css	src/pages/Navigation/Navigation.jsx	2	2	15
server/index.js	server/middleware/rateLimit.js	2	21	15
server/middleware/auth.js	server/controllers/cartController.js	2	8	6
server/routes/games.js	server/controllers/stripeWebhookController.js	2	11	7
src/pages/Logout/Logout.jsx	src/pages/Dev/Dev.jsx	2	11	43
src/pages/Cart/Cart.jsx	server/middleware/rateLimit.js	2	3	15
src/pages/GameDetail/GameDetail.jsx	src/pages/Dev/DevGameDetail/devGameDetail.jsx	2	19	3
server/utils/keygen.js	server/routes/dev.js	2	2	15
src/pages/Register/Register.jsx	src/pages/Logout/Logout.jsx	2	17	11
src/pages/Register/Register.jsx	server/index.js	2	17	21
src/pages/Navigation/Navigation.jsx	server/routes/payments.js	2	15	9
server/routes/games.js	server/middleware/rateLimit.js	2	11	15
src/pages/Navigation/navigation.css	src/app/components/SearchBar.jsx	2	14	7
src/pages/oldDev/Dev.jsx	src/pages/Profile/Profile.css	2	2	4
server/middleware/auth.js	server/controllers/gamesController.js	2	8	24
src/pages/Login/Login.jsx	src/pages/Profile/Profile.css	2	30	4
src/pages/oldDev/Dev.css	src/pages/oldDev/CreateGame/CreateGame.css	2	2	2
src/pages/Search/Search.css	src/app/Context/AuthContext.jsx	2	2	6
src/pages/oldDev/CreateGame/CreateGame.jsx	src/app/components/Guards/RequireDev.jsx	2	2	2
src/pages/Search/Search.jsx	src/pages/Register/Register.jsx	2	4	17
server/utils/stripePricing.js	server/middleware/auth.js	2	4	8
server/utils/keygen.js	server/controllers/userController.js	2	2	14
server/utils/keygen.js	server/routes/payments.js	2	2	9
src/pages/Navigation/Navigation.jsx	src/pages/Profile/Profile.jsx	2	15	21
src/pages/Register/Register.jsx	src/pages/Profile/Profile.jsx	2	17	21
src/pages/Logout/Logout.jsx	src/pages/GameDetail/GameDetail.jsx	2	11	19
server/routes/payments.js	src/pages/Dev/Dev.jsx	2	9	43
server/controllers/cartController.js	src/pages/Dev/Dev.jsx	2	6	43
